Praca,Autor
1,Schubert
2,Clemente
2,Czerwiński
2,Lasota
3,Clemente
3,Czerwiński
3,Lasota
4,Clemente
4,Lasota
5,Czerwiński
5,Lasota
6,Dunin-Kęplicz
6,Szałas
7,Dunin-Kęplicz
7,Szałas
8,Dziubiński
9,Górecki
10,Górecki
10,Paszek
11,Hofman
12,Hofman
13,Hofman
14,Janusz
14,Ślęzak
15,Karczmarz
15,Sankowski
16,Karczmarz
16,Sankowski
17,Klin
18,Klin
19,Klin
20,Charalampopoulos
20,Radoszewski
20,Rytter
20,Waleń
21,Kopczyński
21,Toruńczyk
22,Kopczyński
23,Celińska-Kopczyńska
23,Kopczyński
24,Cygan
24,Kowalik
25,Cygan
25,Kowalik
26,Kowalik
26,Pilipczuk Mi
26,Wrochna
27,Kowaluk
28,Michalak
28,Skibski
29,Michalak
30,Michalak
31,Michalak
32,Mucha
33,Cygan
33,Mucha
33,Węgrzycki
33,Włodarczyk
34,Nguyen AL
35,Pacuk
35,Sankowski
35,Węgrzycki
35,Wygocki
36,Pilipczuk Ma
37,Pilipczuk Ma
37,Pilipczuk Mi
37,Wrochna
38,Pilipczuk Ma
39,Pilipczuk Mi
40,Pilipczuk Mi
41,Bojańczyk
41,Pilipczuk Mi
42,Pilipczuk Mi
42,Wrochna
43,Pilipczuk Mi
43,Wrochna
44,Pilipczuk Mi
44,Wrochna
45,Pilipczuk Mi
46,Pilipczuk Mi
47,Pilipczuk Mi
48,Radoszewski
49,Charalampopoulos
49,Radoszewski
50,Charalampopoulos
50,Radoszewski
51,Charalampopoulos
51,Radoszewski
52,Rządca
53,Sankowski
54,Sankowski
54,Węgrzycki
55,Sankowski
55,Wygocki
56,Schubert
57,Skibski
58,Skrzypczak
59,Michalewski
59,Skrzypczak
60,Ślęzak
61,Adamczyk
61,Włodarczyk
62,Clemente
62,Lasota
63,Cygan
63,Mucha
63,Sankowski
64,Czerwiński
64,Parys
65,Czerwiński
65,Hofman
66,Czerwiński
66,Lasota
67,Dziembowski
68,Dziembowski
69,Dziubiński
70,Gambin
70,Niemyska
70,Startek
71,Górecki
72,Hofman
72,Lasota
73,Iwanicki
74,Iwanicki
75,Iwanicki
76,Iwanicki
77,Janusz
77,Ślęzak
78,Janusz
79,Karczmarz
80,Karczmarz
80,Sankowski
81,Karczmarz
82,Karczmarz
83,Radoszewski
83,Rytter
83,Waleń
84,Radoszewski
84,Rytter
84,Straszyński
84,Waleń
85,Charalampopoulos
85,Radoszewski
85,Rytter
85,Waleń
86,Radoszewski
86,Rytter
86,Waleń
87,Charalampopoulos
87,Radoszewski
87,Straszyński
88,Kowalik
88,Pilipczuk Mi
88,Wrochna
89,Lasota
90,Michalak
91,Gogacz
91,Murlak
92,Niemyska
93,Parys
94,Parys
95,Pilipczuk Ma
96,Pilipczuk Ma
96,Pilipczuk Mi
97,Pilipczuk Ma
98,Pilipczuk Ma
99,Nadara
99,Pilipczuk Ma
100,Gajarsky
100,Pilipczuk Mi
100,Toruńczyk
101,Pilipczuk Mi
102,Pilipczuk Mi
102,Toruńczyk
103,Bojańczyk
103,Pilipczuk Mi
